id,key,coordinates,latitude,longitude,pref,city,district,population,is_island
0,5335046542,"[[[[135.575, 35.387499999999996], [135.57187499999998, 35.387499999999996], [135.57187499999998, 35.389583333333334], [135.575, 35.389583333333334], [135.575, 35.387499999999996]]]]",35.38854166666667,135.57343749999995,福井県,おおい町,納田終（中野）,3,False
0,5335046544,"[[[[135.575, 35.389583333333334], [135.57187499999998, 35.389583333333334], [135.57187499999998, 35.391666666666666], [135.575, 35.391666666666666], [135.575, 35.389583333333334]]]]",35.390625,135.57343749999995,福井県,おおい町,納田終（中野）,9,False
0,5335046633,"[[[[135.578125, 35.389583333333334], [135.575, 35.389583333333334], [135.575, 35.391666666666666], [135.578125, 35.391666666666666], [135.578125, 35.389583333333334]]]]",35.390625,135.5765625,福井県,おおい町,納田終（小向）,2,False
0,5335046643,"[[[[135.584375, 35.389583333333334], [135.58124999999998, 35.389583333333334], [135.58124999999998, 35.391666666666666], [135.584375, 35.391666666666666], [135.584375, 35.389583333333334]]]]",35.390625,135.5828125,福井県,おおい町,納田終（小向）,3,False
0,5335047612,"[[[[135.58124999999998, 35.391666666666666], [135.578125, 35.391666666666666], [135.578125, 35.39375], [135.58124999999998, 35.39375], [135.58124999999998, 35.391666666666666]]]]",35.392708333333324,135.57968749999998,福井県,おおい町,納田終（小向）,10,False
0,5335047621,"[[[[135.584375, 35.391666666666666], [135.58124999999998, 35.391666666666666], [135.58124999999998, 35.39375], [135.584375, 35.39375], [135.584375, 35.391666666666666]]]]",35.39270833333333,135.5828125,福井県,おおい町,納田終（小向）,8,False
0,5335047623,"[[[[135.584375, 35.39375], [135.58124999999998, 35.39375], [135.58124999999998, 35.39583333333333], [135.584375, 35.39583333333333], [135.584375, 35.39375]]]]",35.39479166666666,135.5828125,福井県,おおい町,納田終（小向）,7,False
0,5335047624,"[[[[135.58749999999998, 35.39375], [135.584375, 35.39375], [135.584375, 35.39583333333333], [135.58749999999998, 35.39583333333333], [135.58749999999998, 35.39375]]]]",35.39479166666666,135.5859375,福井県,おおい町,納田終（小和田）,8,False
0,5335047642,"[[[[135.58749999999998, 35.39583333333333], [135.584375, 35.39583333333333], [135.584375, 35.39791666666667], [135.58749999999998, 35.39791666666667], [135.58749999999998, 35.39583333333333]]]]",35.396874999999994,135.5859375,福井県,おおい町,納田終（小和田）,12,False
0,5335047713,"[[[[135.590625, 35.39375], [135.58749999999998, 35.39375], [135.58749999999998, 35.39583333333333], [135.590625, 35.39583333333333], [135.590625, 35.39375]]]]",35.39479166666666,135.58906249999998,福井県,おおい町,納田終（白屋）,3,False
0,5335047721,"[[[[135.59687499999998, 35.391666666666666], [135.59375, 35.391666666666666], [135.59375, 35.39375], [135.59687499999998, 35.39375], [135.59687499999998, 35.391666666666666]]]]",35.392708333333324,135.59531249999998,福井県,おおい町,納田終（仁井）,7,False
0,5335047731,"[[[[135.590625, 35.39583333333333], [135.58749999999998, 35.39583333333333], [135.58749999999998, 35.39791666666667], [135.590625, 35.39791666666667], [135.590625, 35.39583333333333]]]]",35.396875,135.58906249999998,福井県,おおい町,納田終（白屋）,7,False
0,5335047732,"[[[[135.59375, 35.39583333333333], [135.590625, 35.39583333333333], [135.590625, 35.39791666666667], [135.59375, 35.39791666666667], [135.59375, 35.39583333333333]]]]",35.396875,135.5921875,福井県,おおい町,納田終（仁井）,39,False
0,5335047741,"[[[[135.59687499999998, 35.39583333333333], [135.59375, 35.39583333333333], [135.59375, 35.39791666666667], [135.59687499999998, 35.39791666666667], [135.59687499999998, 35.39583333333333]]]]",35.396874999999994,135.59531249999998,福井県,おおい町,納田終（仁井）,3,False
0,5335047832,"[[[[135.60625, 35.39583333333333], [135.60312499999998, 35.39583333333333], [135.60312499999998, 35.39791666666667], [135.60625, 35.39791666666667], [135.60625, 35.39583333333333]]]]",35.396875,135.60468749999998,福井県,おおい町,口坂本（横折）,1,False
0,5335047834,"[[[[135.60625, 35.39791666666667], [135.60312499999998, 35.39791666666667], [135.60312499999998, 35.4], [135.60625, 35.4], [135.60625, 35.39791666666667]]]]",35.39895833333333,135.60468749999998,福井県,おおい町,口坂本（横折）,11,False
0,5335047842,"[[[[135.61249999999998, 35.39583333333333], [135.609375, 35.39583333333333], [135.609375, 35.39791666666667], [135.61249999999998, 35.39791666666667], [135.61249999999998, 35.39583333333333]]]]",35.396874999999994,135.61093749999998,福井県,おおい町,口坂本（坂尻）,3,False
0,5335047843,"[[[[135.609375, 35.39791666666667], [135.60625, 35.39791666666667], [135.60625, 35.4], [135.609375, 35.4], [135.609375, 35.39791666666667]]]]",35.39895833333333,135.6078125,福井県,おおい町,口坂本（森町）,27,False
0,5335047844,"[[[[135.61249999999998, 35.39791666666667], [135.609375, 35.39791666666667], [135.609375, 35.4], [135.61249999999998, 35.4], [135.61249999999998, 35.39791666666667]]]]",35.39895833333333,135.61093749999998,福井県,おおい町,口坂本（森町）,45,False
0,5335047933,"[[[[135.615625, 35.39791666666667], [135.61249999999998, 35.39791666666667], [135.61249999999998, 35.4], [135.615625, 35.4], [135.615625, 35.39791666666667]]]]",35.39895833333333,135.6140625,福井県,おおい町,口坂本（黒瀬）,24,False
0,5335048814,"[[[[135.60625, 35.40208333333333], [135.60312499999998, 35.40208333333333], [135.60312499999998, 35.40416666666666], [135.60625, 35.40416666666666], [135.60625, 35.40208333333333]]]]",35.403124999999996,135.60468749999998,福井県,おおい町,口坂本（森町）,3,False
