id,key,coordinates,latitude,longitude,pref,city,district,population,is_island
0,5235268942,"[[[[135.875, 34.90416666666666], [135.871875, 34.90416666666666], [135.871875, 34.90625], [135.875, 34.90625], [135.875, 34.90416666666666]]]]",34.905208333333334,135.8734375,滋賀県,大津市,大石曾束４丁目,16,False
0,5235272742,"[[[[135.975, 34.854166666666664], [135.97187499999998, 34.854166666666664], [135.97187499999998, 34.856249999999996], [135.975, 34.856249999999996], [135.975, 34.854166666666664]]]]",34.85520833333333,135.9734375,滋賀県,甲賀市,上朝宮,57,False
0,5235272743,"[[[[135.97187499999998, 34.856249999999996], [135.96875, 34.856249999999996], [135.96875, 34.858333333333334], [135.97187499999998, 34.858333333333334], [135.97187499999998, 34.856249999999996]]]]",34.85729166666666,135.97031249999998,滋賀県,甲賀市,宮尻,12,False
0,5235272744,"[[[[135.975, 34.856249999999996], [135.97187499999998, 34.856249999999996], [135.97187499999998, 34.858333333333334], [135.975, 34.858333333333334], [135.975, 34.856249999999996]]]]",34.85729166666666,135.9734375,滋賀県,甲賀市,上朝宮,55,False
0,5235272812,"[[[[135.98125, 34.849999999999994], [135.97812499999998, 34.849999999999994], [135.97812499999998, 34.85208333333333], [135.98125, 34.85208333333333], [135.98125, 34.849999999999994]]]]",34.85104166666666,135.9796875,滋賀県,甲賀市,上朝宮,1,False
0,5235272813,"[[[[135.97812499999998, 34.85208333333333], [135.975, 34.85208333333333], [135.975, 34.854166666666664], [135.97812499999998, 34.854166666666664], [135.97812499999998, 34.85208333333333]]]]",34.853125,135.9765625,滋賀県,甲賀市,上朝宮,3,False
0,5235272814,"[[[[135.98125, 34.85208333333333], [135.97812499999998, 34.85208333333333], [135.97812499999998, 34.854166666666664], [135.98125, 34.854166666666664], [135.98125, 34.85208333333333]]]]",34.853125000000006,135.9796875,滋賀県,甲賀市,上朝宮,49,False
0,5235272821,"[[[[135.984375, 34.849999999999994], [135.98125, 34.849999999999994], [135.98125, 34.85208333333333], [135.984375, 34.85208333333333], [135.984375, 34.849999999999994]]]]",34.85104166666666,135.9828125,滋賀県,甲賀市,上朝宮,6,False
0,5235272823,"[[[[135.984375, 34.85208333333333], [135.98125, 34.85208333333333], [135.98125, 34.854166666666664], [135.984375, 34.854166666666664], [135.984375, 34.85208333333333]]]]",34.853125000000006,135.9828125,滋賀県,甲賀市,上朝宮,61,False
0,5235272824,"[[[[135.98749999999998, 34.85208333333333], [135.984375, 34.85208333333333], [135.984375, 34.854166666666664], [135.98749999999998, 34.854166666666664], [135.98749999999998, 34.85208333333333]]]]",34.853125,135.98593749999998,滋賀県,甲賀市,上朝宮,31,False
0,5235272842,"[[[[135.98749999999998, 34.854166666666664], [135.984375, 34.854166666666664], [135.984375, 34.856249999999996], [135.98749999999998, 34.856249999999996], [135.98749999999998, 34.854166666666664]]]]",34.85520833333334,135.98593749999998,滋賀県,甲賀市,上朝宮,48,False
0,5235272843,"[[[[135.984375, 34.856249999999996], [135.98125, 34.856249999999996], [135.98125, 34.858333333333334], [135.984375, 34.858333333333334], [135.984375, 34.856249999999996]]]]",34.85729166666666,135.9828125,滋賀県,甲賀市,上朝宮,2,False
0,5235272914,"[[[[135.99374999999998, 34.85208333333333], [135.990625, 34.85208333333333], [135.990625, 34.854166666666664], [135.99374999999998, 34.854166666666664], [135.99374999999998, 34.85208333333333]]]]",34.853125,135.99218749999997,滋賀県,甲賀市,上朝宮,4,False
0,5235272931,"[[[[135.990625, 34.854166666666664], [135.98749999999998, 34.854166666666664], [135.98749999999998, 34.856249999999996], [135.990625, 34.856249999999996], [135.990625, 34.854166666666664]]]]",34.85520833333333,135.9890625,滋賀県,甲賀市,上朝宮,52,False
0,5235272932,"[[[[135.99374999999998, 34.854166666666664], [135.990625, 34.854166666666664], [135.990625, 34.856249999999996], [135.99374999999998, 34.856249999999996], [135.99374999999998, 34.854166666666664]]]]",34.85520833333334,135.99218749999997,滋賀県,甲賀市,上朝宮,55,False
0,5235272933,"[[[[135.990625, 34.856249999999996], [135.98749999999998, 34.856249999999996], [135.98749999999998, 34.858333333333334], [135.990625, 34.858333333333334], [135.990625, 34.856249999999996]]]]",34.85729166666666,135.9890625,滋賀県,甲賀市,上朝宮,40,False
0,5235272941,"[[[[135.996875, 34.854166666666664], [135.99374999999998, 34.854166666666664], [135.99374999999998, 34.856249999999996], [135.996875, 34.856249999999996], [135.996875, 34.854166666666664]]]]",34.85520833333333,135.99531249999998,滋賀県,甲賀市,上朝宮,16,False
0,5235272942,"[[[[136.0, 34.854166666666664], [135.996875, 34.854166666666664], [135.996875, 34.856249999999996], [136.0, 34.856249999999996], [136.0, 34.854166666666664]]]]",34.85520833333333,135.9984375,滋賀県,甲賀市,上朝宮,7,False
0,5235273714,"[[[[135.96875, 34.860416666666666], [135.965625, 34.860416666666666], [135.965625, 34.8625], [135.96875, 34.8625], [135.96875, 34.860416666666666]]]]",34.86145833333333,135.9671875,滋賀県,甲賀市,宮尻,8,False
0,5235273721,"[[[[135.97187499999998, 34.858333333333334], [135.96875, 34.858333333333334], [135.96875, 34.860416666666666], [135.97187499999998, 34.860416666666666], [135.97187499999998, 34.858333333333334]]]]",34.859375,135.97031249999998,滋賀県,甲賀市,宮尻,37,False
0,5235273723,"[[[[135.97187499999998, 34.860416666666666], [135.96875, 34.860416666666666], [135.96875, 34.8625], [135.97187499999998, 34.8625], [135.97187499999998, 34.860416666666666]]]]",34.86145833333333,135.97031249999998,滋賀県,甲賀市,下朝宮,2,False
0,5235274643,"[[[[135.959375, 34.87291666666666], [135.95624999999998, 34.87291666666666], [135.95624999999998, 34.875], [135.959375, 34.875], [135.959375, 34.87291666666666]]]]",34.873958333333334,135.95781249999996,滋賀県,甲賀市,宮尻,6,False
0,5235274733,"[[[[135.965625, 34.87291666666666], [135.96249999999998, 34.87291666666666], [135.96249999999998, 34.875], [135.965625, 34.875], [135.965625, 34.87291666666666]]]]",34.873958333333334,135.96406249999998,滋賀県,甲賀市,宮尻,37,False
0,5235274734,"[[[[135.96875, 34.87291666666666], [135.965625, 34.87291666666666], [135.965625, 34.875], [135.96875, 34.875], [135.96875, 34.87291666666666]]]]",34.873958333333334,135.96718750000002,滋賀県,甲賀市,下朝宮,22,False
0,5235274743,"[[[[135.97187499999998, 34.87291666666666], [135.96875, 34.87291666666666], [135.96875, 34.875], [135.97187499999998, 34.875], [135.97187499999998, 34.87291666666666]]]]",34.873958333333334,135.97031249999998,滋賀県,甲賀市,下朝宮,25,False
0,5235275141,"[[[[135.896875, 34.87916666666666], [135.89374999999998, 34.87916666666666], [135.89374999999998, 34.881249999999994], [135.896875, 34.881249999999994], [135.896875, 34.87916666666666]]]]",34.88020833333333,135.8953125,滋賀県,大津市,大石小田原１丁目,13,False
0,5235275143,"[[[[135.896875, 34.881249999999994], [135.89374999999998, 34.881249999999994], [135.89374999999998, 34.88333333333333], [135.896875, 34.88333333333333], [135.896875, 34.881249999999994]]]]",34.88229166666666,135.8953125,滋賀県,大津市,大石小田原１丁目,1,False
0,5235275144,"[[[[135.89999999999998, 34.881249999999994], [135.896875, 34.881249999999994], [135.896875, 34.88333333333333], [135.89999999999998, 34.88333333333333], [135.89999999999998, 34.881249999999994]]]]",34.88229166666666,135.8984375,滋賀県,大津市,大石小田原１丁目,45,False
0,5235275623,"[[[[135.959375, 34.87708333333333], [135.95624999999998, 34.87708333333333], [135.95624999999998, 34.87916666666666], [135.959375, 34.87916666666666], [135.959375, 34.87708333333333]]]]",34.878125,135.95781250000002,滋賀県,大津市,大石富川４丁目,41,False
0,5235275634,"[[[[135.95624999999998, 34.881249999999994], [135.953125, 34.881249999999994], [135.953125, 34.88333333333333], [135.95624999999998, 34.88333333333333], [135.95624999999998, 34.881249999999994]]]]",34.88229166666666,135.95468749999998,滋賀県,大津市,大石富川４丁目,1,False
0,5235275641,"[[[[135.959375, 34.87916666666666], [135.95624999999998, 34.87916666666666], [135.95624999999998, 34.881249999999994], [135.959375, 34.881249999999994], [135.959375, 34.87916666666666]]]]",34.88020833333333,135.95781250000002,滋賀県,大津市,大石富川４丁目,7,False
0,5235275712,"[[[[135.96875, 34.875], [135.965625, 34.875], [135.965625, 34.87708333333333], [135.96875, 34.87708333333333], [135.96875, 34.875]]]]",34.876041666666666,135.9671875,滋賀県,甲賀市,下朝宮,5,False
0,5235276122,"[[[[135.89999999999998, 34.88333333333333], [135.896875, 34.88333333333333], [135.896875, 34.885416666666664], [135.89999999999998, 34.885416666666664], [135.89999999999998, 34.88333333333333]]]]",34.884375,135.8984375,滋賀県,大津市,大石小田原１丁目,26,False
0,5235276211,"[[[[135.903125, 34.88333333333333], [135.89999999999998, 34.88333333333333], [135.89999999999998, 34.885416666666664], [135.903125, 34.885416666666664], [135.903125, 34.88333333333333]]]]",34.884375,135.90156249999998,滋賀県,大津市,大石小田原２丁目,30,False
0,5235276213,"[[[[135.903125, 34.885416666666664], [135.89999999999998, 34.885416666666664], [135.89999999999998, 34.887499999999996], [135.903125, 34.887499999999996], [135.903125, 34.885416666666664]]]]",34.88645833333333,135.90156249999998,滋賀県,大津市,大石小田原２丁目,6,False
0,5235276232,"[[[[135.90625, 34.887499999999996], [135.903125, 34.887499999999996], [135.903125, 34.889583333333334], [135.90625, 34.889583333333334], [135.90625, 34.887499999999996]]]]",34.88854166666666,135.9046875,滋賀県,大津市,大石小田原２丁目,7,False
0,5235276244,"[[[[135.9125, 34.889583333333334], [135.90937499999998, 34.889583333333334], [135.90937499999998, 34.891666666666666], [135.9125, 34.891666666666666], [135.9125, 34.889583333333334]]]]",34.890625,135.9109375,滋賀県,大津市,大石竜門６丁目,5,False
0,5235276611,"[[[[135.953125, 34.88333333333333], [135.95, 34.88333333333333], [135.95, 34.885416666666664], [135.953125, 34.885416666666664], [135.953125, 34.88333333333333]]]]",34.884375,135.95156249999997,滋賀県,大津市,大石富川４丁目,2,False
0,5235276612,"[[[[135.95624999999998, 34.88333333333333], [135.953125, 34.88333333333333], [135.953125, 34.885416666666664], [135.95624999999998, 34.885416666666664], [135.95624999999998, 34.88333333333333]]]]",34.884375,135.95468749999998,滋賀県,大津市,大石富川４丁目,16,False
0,5235276614,"[[[[135.95624999999998, 34.885416666666664], [135.953125, 34.885416666666664], [135.953125, 34.887499999999996], [135.95624999999998, 34.887499999999996], [135.95624999999998, 34.885416666666664]]]]",34.88645833333333,135.95468749999998,滋賀県,大津市,大石富川４丁目,1,False
