id,key,coordinates,latitude,longitude,pref,city,district,population,is_island
0,5436379134,"[[[[136.89374999999998, 36.33125], [136.890625, 36.33125], [136.890625, 36.33333333333333], [136.89374999999998, 36.33333333333333], [136.89374999999998, 36.33125]]]]",36.33229166666666,136.89218749999998,富山県,南砺市,成出,7,False
0,5436462924,"[[[[136.875, 36.35208333333333], [136.871875, 36.35208333333333], [136.871875, 36.354166666666664], [136.875, 36.354166666666664], [136.875, 36.35208333333333]]]]",36.353125,136.8734375,富山県,南砺市,成出,7,False
0,5436462942,"[[[[136.875, 36.354166666666664], [136.871875, 36.354166666666664], [136.871875, 36.356249999999996], [136.875, 36.356249999999996], [136.875, 36.354166666666664]]]]",36.35520833333333,136.8734375,富山県,南砺市,成出,2,False
0,5436463922,"[[[[136.875, 36.358333333333334], [136.871875, 36.358333333333334], [136.871875, 36.360416666666666], [136.875, 36.360416666666666], [136.875, 36.358333333333334]]]]",36.359375,136.8734375,富山県,南砺市,成出,14,False
0,5436463924,"[[[[136.875, 36.360416666666666], [136.871875, 36.360416666666666], [136.871875, 36.3625], [136.875, 36.3625], [136.875, 36.360416666666666]]]]",36.361458333333324,136.8734375,富山県,南砺市,楮,24,False
0,5436463942,"[[[[136.875, 36.3625], [136.871875, 36.3625], [136.871875, 36.36458333333333], [136.875, 36.36458333333333], [136.875, 36.3625]]]]",36.36354166666666,136.8734375,富山県,南砺市,真木,25,False
0,5436463944,"[[[[136.875, 36.36458333333333], [136.871875, 36.36458333333333], [136.871875, 36.36666666666667], [136.875, 36.36666666666667], [136.875, 36.36458333333333]]]]",36.365625,136.87343749999997,富山県,南砺市,真木,11,False
0,5436465923,"[[[[136.871875, 36.37708333333333], [136.86874999999998, 36.37708333333333], [136.86874999999998, 36.37916666666666], [136.871875, 36.37916666666666], [136.871875, 36.37708333333333]]]]",36.378125,136.87031249999998,富山県,南砺市,真木,19,False
0,5436465924,"[[[[136.875, 36.37708333333333], [136.871875, 36.37708333333333], [136.871875, 36.37916666666666], [136.875, 36.37916666666666], [136.875, 36.37708333333333]]]]",36.378125,136.8734375,富山県,南砺市,真木,3,False
0,5436465941,"[[[[136.871875, 36.37916666666666], [136.86874999999998, 36.37916666666666], [136.86874999999998, 36.381249999999994], [136.871875, 36.381249999999994], [136.871875, 36.37916666666666]]]]",36.380208333333336,136.87031249999998,富山県,南砺市,真木,48,False
0,5436465942,"[[[[136.875, 36.37916666666666], [136.871875, 36.37916666666666], [136.871875, 36.381249999999994], [136.875, 36.381249999999994], [136.875, 36.37916666666666]]]]",36.380208333333336,136.8734375,富山県,南砺市,真木,2,False
0,5436465943,"[[[[136.871875, 36.381249999999994], [136.86874999999998, 36.381249999999994], [136.86874999999998, 36.38333333333333], [136.871875, 36.38333333333333], [136.871875, 36.381249999999994]]]]",36.38229166666666,136.87031249999998,富山県,南砺市,真木,30,False
0,5436466922,"[[[[136.875, 36.38333333333333], [136.871875, 36.38333333333333], [136.871875, 36.385416666666664], [136.875, 36.385416666666664], [136.875, 36.38333333333333]]]]",36.384375000000006,136.8734375,富山県,南砺市,真木,19,False
0,5436466942,"[[[[136.875, 36.387499999999996], [136.871875, 36.387499999999996], [136.871875, 36.389583333333334], [136.875, 36.389583333333334], [136.875, 36.387499999999996]]]]",36.38854166666666,136.87343749999997,富山県,南砺市,下島,26,False
0,5436466944,"[[[[136.875, 36.389583333333334], [136.871875, 36.389583333333334], [136.871875, 36.391666666666666], [136.875, 36.391666666666666], [136.875, 36.389583333333334]]]]",36.390625,136.8734375,富山県,南砺市,下島,7,False
0,5436467922,"[[[[136.875, 36.391666666666666], [136.871875, 36.391666666666666], [136.871875, 36.39375], [136.875, 36.39375], [136.875, 36.391666666666666]]]]",36.39270833333333,136.8734375,富山県,南砺市,下島,13,False
0,5436473011,"[[[[136.87812499999998, 36.358333333333334], [136.875, 36.358333333333334], [136.875, 36.360416666666666], [136.87812499999998, 36.360416666666666], [136.87812499999998, 36.358333333333334]]]]",36.359375,136.87656249999998,富山県,南砺市,楮,2,False
0,5436473031,"[[[[136.87812499999998, 36.3625], [136.875, 36.3625], [136.875, 36.36458333333333], [136.87812499999998, 36.36458333333333], [136.87812499999998, 36.3625]]]]",36.36354166666666,136.87656249999998,富山県,南砺市,楮,4,False
0,5436473033,"[[[[136.87812499999998, 36.36458333333333], [136.875, 36.36458333333333], [136.875, 36.36666666666667], [136.87812499999998, 36.36666666666667], [136.87812499999998, 36.36458333333333]]]]",36.365625,136.87656249999998,富山県,南砺市,真木,7,False
0,5436473824,"[[[[136.98749999999998, 36.360416666666666], [136.984375, 36.360416666666666], [136.984375, 36.3625], [136.98749999999998, 36.3625], [136.98749999999998, 36.360416666666666]]]]",36.36145833333333,136.98593749999998,富山県,南砺市,利賀村大勘場,2,False
0,5436475033,"[[[[136.87812499999998, 36.381249999999994], [136.875, 36.381249999999994], [136.875, 36.38333333333333], [136.87812499999998, 36.38333333333333], [136.87812499999998, 36.381249999999994]]]]",36.38229166666666,136.87656249999998,富山県,南砺市,真木,25,False
0,5436475931,"[[[[136.990625, 36.37916666666666], [136.98749999999998, 36.37916666666666], [136.98749999999998, 36.381249999999994], [136.990625, 36.381249999999994], [136.990625, 36.37916666666666]]]]",36.380208333333336,136.9890625,富山県,南砺市,,2,False
0,5436476011,"[[[[136.87812499999998, 36.38333333333333], [136.875, 36.38333333333333], [136.875, 36.385416666666664], [136.87812499999998, 36.385416666666664], [136.87812499999998, 36.38333333333333]]]]",36.384375,136.87656249999998,富山県,南砺市,新屋,18,False
