name,raw_lat,raw_lon,correct_lat,correct_lon
田老第一小学校,39.73599,141.79475,39.736418,141.966356
亀岳小学校,39.708822,141.682229,39.708821,141.888343
昆布温泉簡易郵便局,42.848859,140.612403,42.839329,140.620582
